,Region,year,Happiness Score,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,CountryNum
136,Sub-Saharan Africa,2019,4.499314285714286,8.1258,0.7002,56.12771428571428,0.7241428571428571,0.010628571428571426,0.7672857142857143,0.6933142857142857,0.3379714285714286,397
137,Sub-Saharan Africa,2020,4.761571428571429,8.422214285714286,0.7334285714285714,57.06428571428571,0.7437142857142858,0.07585714285714286,0.7870714285714285,0.7003571428571428,0.30114285714285716,397
138,Western Europe,2005,6.9345,10.661,0.9279999999999999,70.4,0.86175,0.08574999999999999,0.64175,0.77425,0.21000000000000002,252
139,Western Europe,2006,6.881625,10.778125,0.938125,70.785,0.904875,0.112875,0.523875,0.798875,0.229875,252
140,Western Europe,2007,6.9632000000000005,10.5577,0.9182,70.022,0.8024000000000001,0.1165,0.6271,0.7745,0.2314,252
141,Western Europe,2008,7.165466666666666,10.778866666666666,0.9368,71.15333333333334,0.8381333333333333,0.12326666666666666,0.5799333333333333,0.7852,0.20333333333333334,252
142,Western Europe,2009,6.8095,10.772583333333332,0.9090833333333334,71.61333333333333,0.8003333333333332,0.10933333333333334,0.6002500000000001,0.7805833333333334,0.24966666666666668,252
143,Western Europe,2010,6.8180625,10.7465,0.92625,71.51875,0.8238125000000001,0.08,0.619875,0.785,0.225375,252
144,Western Europe,2011,6.81775,10.749125,0.9235625,71.65125,0.857125,0.08256250000000001,0.6140625,0.777375,0.226,252
145,Western Europe,2012,6.837578947368421,10.766684210526316,0.9167368421052631,71.91157894736841,0.8366842105263158,0.08194736842105263,0.6023157894736842,0.7918947368421052,0.2454736842105263,252
146,Western Europe,2013,6.699764705882353,10.728941176470588,0.903764705882353,71.97058823529412,0.8181764705882353,0.07300000000000001,0.6221176470588236,0.7744705882352941,0.25976470588235295,252
147,Western Europe,2014,6.6357,10.66365,0.9035,71.64099999999999,0.8435499999999999,0.08420000000000001,0.56635,0.7754,0.25925000000000004,252
148,Western Europe,2015,6.73275,10.7896,0.9147000000000001,72.31,0.84185,0.10734999999999999,0.5291,0.7744500000000001,0.2408,252
149,Western Europe,2016,6.81405,10.80935,0.9205500000000001,72.47999999999999,0.8468,0.061149999999999996,0.55045,0.76585,0.24595000000000003,252
150,Western Europe,2017,6.8919,10.831,0.9151,72.65,0.8550000000000001,0.0879,0.5191,0.76145,0.23015,252
151,Western Europe,2018,6.965947368421053,10.845473684210527,0.9157368421052632,72.81052631578947,0.8496315789473684,-0.00205263157894737,0.5148947368421052,0.759157894736842,0.24889473684210528,252
152,Western Europe,2019,6.9873157894736835,10.857052631578947,0.916,72.98947368421052,0.8589473684210527,-0.002315789473684207,0.5191578947368422,0.7583157894736842,0.242,252
153,Western Europe,2020,7.003058823529412,10.766470588235293,0.9248823529411765,73.19411764705882,0.8664117647058823,-0.03329411764705882,0.48205882352941176,0.7481176470588236,0.24570588235294116,252
